timestamp,head_tx,head_ty,head_tz,head_roll,head_pitch,head_yaw,gaze_x,gaze_y,gaze_z
0.00,0.000,-0.010,0.700,0.000,0.030,0.170,0.010,-0.120,1.000
0.05,0.010,-0.007,0.702,0.006,0.037,0.168,0.030,-0.115,0.999
0.10,0.020,-0.004,0.704,0.012,0.044,0.163,0.048,-0.108,0.998
0.15,0.030,-0.001,0.705,0.018,0.050,0.155,0.066,-0.100,0.997
0.20,0.039,0.003,0.706,0.023,0.056,0.145,0.082,-0.091,0.996
0.25,0.047,0.006,0.707,0.028,0.061,0.132,0.096,-0.081,0.995
0.30,0.054,0.010,0.708,0.032,0.066,0.118,0.109,-0.070,0.994
0.35,0.060,0.014,0.709,0.035,0.070,0.102,0.119,-0.058,0.993
0.40,0.064,0.018,0.709,0.038,0.073,0.085,0.128,-0.045,0.992
0.45,0.067,0.022,0.710,0.040,0.075,0.067,0.134,-0.032,0.991
0.50,0.068,0.026,0.710,0.041,0.076,0.049,0.138,-0.019,0.990
0.55,0.068,0.030,0.709,0.041,0.076,0.031,0.140,-0.006,0.990
0.60,0.066,0.034,0.709,0.040,0.075,0.013,0.139,0.007,0.990
0.65,0.063,0.038,0.708,0.038,0.073,-0.004,0.136,0.019,0.991
0.70,0.058,0.042,0.707,0.035,0.070,-0.021,0.131,0.031,0.992
0.75,0.052,0.045,0.706,0.031,0.066,-0.036,0.124,0.042,0.993
0.80,0.044,0.049,0.705,0.027,0.061,-0.051,0.115,0.052,0.994
0.85,0.035,0.052,0.704,0.022,0.056,-0.064,0.104,0.061,0.995
0.90,0.025,0.055,0.703,0.016,0.050,-0.076,0.091,0.069,0.996
0.95,0.014,0.058,0.701,0.010,0.043,-0.086,0.077,0.076,0.997
1.00,0.003,0.060,0.700,0.003,0.036,-0.095,0.061,0.082,0.998
